age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
18.0,Private,57529.375,HS-grad,9,Separated,Machine-op-inspct,Unmarried,Black,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35.0,United-States,<=50K
18.0,Self-emp-not-inc,57529.375,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,37.5,United-States,<=50K
18.0,State-gov,57529.375,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,7688,0,37.5,United-States,>50K
18.0,Self-emp-not-inc,57529.375,11th,7,Widowed,Other-service,Unmarried,White,Female,0,0,37.5,United-States,<=50K
18.0,Self-emp-not-inc,57529.375,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,37.5,United-States,<=50K
18.0,Local-gov,57529.375,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,43311.0,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Local-gov,57529.375,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,37.5,United-States,>50K
18.0,Private,57529.375,5th-6th,3,Never-married,Priv-house-serv,Not-in-family,White,Male,0,0,37.5,Guatemala,<=50K
18.0,Private,57529.375,10th,6,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,37.5,United-States,>50K
18.0,Self-emp-inc,57529.375,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,37.5,United-States,>50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,State-gov,57529.375,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,36.0,United-States,>50K
18.0,Private,57529.375,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,37.5,Mexico,<=50K
18.0,Private,57529.375,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,3908,0,37.5,United-States,<=50K
18.0,Private,57529.375,11th,7,Separated,Priv-house-serv,Not-in-family,Black,Female,0,0,32.5,United-States,<=50K
18.0,Self-emp-inc,57529.375,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,37.5,United-States,<=50K
18.0,Private,54440.0,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Divorced,Handlers-cleaners,Own-child,Black,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,1721,32.5,United-States,<=50K
18.0,Private,54164.0,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,14084,0,37.5,United-States,>50K
18.0,Private,57529.375,9th,5,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,0,0,37.5,Mexico,<=50K
18.0,Private,57529.375,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Local-gov,57529.375,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,3103,0,37.5,United-States,>50K
18.0,Self-emp-inc,57529.375,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,37.5,United-States,>50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Some-college,10,Divorced,Sales,Not-in-family,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,31208.0,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,37.5,United-States,<=50K
18.0,Local-gov,57529.375,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Bachelors,13,Never-married,Other-service,Not-in-family,White,Female,0,0,37.5,United-States,<=50K
18.0,Self-emp-inc,57529.375,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,37.5,United-States,>50K
18.0,Private,57529.375,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Separated,Transport-moving,Not-in-family,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,37.5,United-States,>50K
18.0,Private,57529.375,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,37.5,Mexico,<=50K
18.0,Private,57529.375,Some-college,10,Separated,Handlers-cleaners,Not-in-family,White,Female,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,37.5,Dominican-Republic,<=50K
18.0,Private,57529.375,10th,6,Never-married,Prof-specialty,Own-child,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Self-emp-inc,57529.375,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,37.5,United-States,<=50K
18.0,Self-emp-inc,57529.375,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Some-college,10,Separated,Other-service,Not-in-family,White,Male,0,1876,37.5,United-States,<=50K
18.0,Self-emp-inc,57529.375,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,99999,0,37.5,United-States,>50K
18.0,Self-emp-not-inc,57529.375,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,White,Female,0,0,37.5,United-States,<=50K
18.0,Federal-gov,57529.375,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,37.5,United-States,>50K
18.0,Federal-gov,57529.375,Some-college,10,Never-married,Armed-Forces,Not-in-family,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,38434.0,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,7688,0,32.5,United-States,>50K
18.0,Private,57529.375,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,32.5,United-States,<=50K
18.0,Federal-gov,57529.375,7th-8th,4,Never-married,Other-service,Not-in-family,Black,Male,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,5178,0,32.5,United-States,>50K
18.0,Federal-gov,57529.375,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Masters,14,Never-married,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,37.5,United-States,>50K
18.0,Private,57529.375,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,35.0,United-States,<=50K
18.0,Private,57529.375,Some-college,10,Never-married,Transport-moving,Own-child,Black,Male,0,0,37.5,United-States,<=50K
18.0,Self-emp-not-inc,57529.375,9th,5,Widowed,Other-service,Not-in-family,White,Female,0,0,37.5,United-States,<=50K
18.0,Local-gov,57529.375,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,10th,6,Separated,Machine-op-inspct,Not-in-family,White,Female,0,0,37.5,United-States,<=50K
18.0,Local-gov,57529.375,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,2597,0,37.5,United-States,<=50K
18.0,Private,57529.375,Some-college,10,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,37.5,United-States,>50K
18.0,Private,30796.0,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Female,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,11th,7,Never-married,Other-service,Not-in-family,White,Female,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Bachelors,13,Divorced,Sales,Unmarried,White,Female,0,0,37.5,United-States,>50K
18.0,Local-gov,57529.375,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,Some-college,10,Divorced,Tech-support,Not-in-family,White,Female,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,32.5,United-States,<=50K
18.0,Federal-gov,42972.0,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,37.5,United-States,>50K
18.0,Private,57529.375,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Male,0,0,37.5,United-States,<=50K
18.0,Self-emp-not-inc,57529.375,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,37.5,Ireland,>50K
18.0,Private,57529.375,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,37.5,United-States,>50K
18.0,Private,57529.375,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Never-married,Craft-repair,Unmarried,Black,Female,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,37.5,United-States,<=50K
18.0,Self-emp-inc,57529.375,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,37.5,United-States,>50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,37.5,United-States,>50K
18.0,Private,57529.375,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,35.0,United-States,<=50K
18.0,Private,57529.375,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Some-college,10,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,32.5,Germany,<=50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,37.5,United-States,>50K
18.0,Self-emp-inc,57529.375,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,37.5,United-States,>50K
18.0,Private,57529.375,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,0,0,32.5,United-States,<=50K
18.0,Self-emp-not-inc,57529.375,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,32.5,United-States,<=50K
18.0,Private,26669.0,Assoc-voc,11,Widowed,Exec-managerial,Unmarried,White,Female,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,37.5,United-States,>50K
18.0,Private,57529.375,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,37.5,United-States,>50K
18.0,Private,57529.375,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,2907,0,32.5,United-States,<=50K
18.0,Private,57529.375,Some-college,10,Never-married,Other-service,Not-in-family,Black,Male,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,11th,7,Married-civ-spouse,Other-service,Wife,Black,Female,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,11th,7,Never-married,Craft-repair,Unmarried,White,Male,0,0,37.5,United-States,<=50K
18.0,State-gov,57529.375,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1887,37.5,United-States,>50K
18.0,Private,57529.375,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,37.5,United-States,<=50K
18.0,Local-gov,57529.375,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,Some-college,10,Never-married,Handlers-cleaners,Unmarried,Black,Female,0,625,37.5,United-States,<=50K
18.0,Self-emp-inc,57529.375,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,43064.0,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,37.5,United-States,<=50K
18.0,State-gov,56841.0,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,37.5,United-States,>50K
18.0,Private,57529.375,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,37.5,United-States,>50K
18.0,Self-emp-not-inc,57529.375,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,32.5,United-States,>50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,41879.0,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,32.5,United-States,<=50K
18.0,Local-gov,57529.375,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,33.0,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,37.5,United-States,>50K
18.0,Private,57529.375,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,37.5,United-States,<=50K
18.0,Private,21175.0,12th,8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Local-gov,57529.375,Masters,14,Separated,Adm-clerical,Unmarried,Black,Female,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,37.5,United-States,>50K
18.0,Private,57529.375,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,37.0,United-States,<=50K
18.0,Self-emp-inc,57529.375,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,37.5,United-States,>50K
18.0,Private,57529.375,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1887,37.5,United-States,>50K
18.0,Private,57529.375,Masters,14,Never-married,Exec-managerial,Own-child,White,Male,4650,0,37.5,United-States,<=50K
18.0,Self-emp-inc,57529.375,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,37.5,United-States,>50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Prof-specialty,Own-child,White,Female,0,0,37.5,United-States,>50K
18.0,Private,57529.375,Bachelors,13,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Divorced,Sales,Unmarried,Black,Female,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,52753.0,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,37.5,United-States,<=50K
18.0,State-gov,57529.375,Bachelors,13,Married-spouse-absent,Farming-fishing,Not-in-family,Black,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,37.5,United-States,>50K
18.0,Private,57529.375,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Male,0,0,37.5,United-States,>50K
18.0,Private,57529.375,Some-college,10,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,37.0,United-States,<=50K
18.0,Private,48574.0,7th-8th,4,Widowed,Prof-specialty,Not-in-family,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Never-married,Prof-specialty,Unmarried,Black,Female,0,0,37.5,United-States,<=50K
18.0,Private,56964.0,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,37.5,United-States,<=50K
18.0,Self-emp-inc,57529.375,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,37.5,United-States,>50K
18.0,Private,57529.375,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,37.5,United-States,>50K
18.0,Local-gov,57529.375,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,37.5,United-States,>50K
18.0,Self-emp-inc,57529.375,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,26716.0,Bachelors,13,Divorced,Craft-repair,Not-in-family,White,Male,0,0,37.5,United-States,<=50K
18.0,Local-gov,57529.375,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,37.5,United-States,>50K
18.0,Self-emp-inc,34848.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,37.5,United-States,<=50K
18.0,Local-gov,57529.375,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,37.5,United-States,>50K
18.0,Private,57529.375,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,37.5,United-States,>50K
18.0,Private,53355.0,11th,7,Never-married,Sales,Not-in-family,White,Male,0,0,32.5,United-States,<=50K
18.0,Private,29106.0,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,37.5,United-States,<=50K
18.0,Federal-gov,57529.375,Assoc-voc,11,Divorced,Craft-repair,Unmarried,White,Female,6497,0,37.5,United-States,<=50K
18.0,Private,22463.0,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,Bachelors,13,Never-married,Tech-support,Own-child,Black,Female,0,0,32.5,United-States,<=50K
18.0,Private,37306.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Federal-gov,57529.375,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,5th-6th,3,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,37.5,Mexico,<=50K
18.0,Private,57529.375,Assoc-voc,11,Separated,Craft-repair,Not-in-family,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,42251.0,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,37.5,United-States,<=50K
