Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001225,Male,Yes,0,Graduate,No,5726.0,4595.0,258.0,360.0,1,Semiurban,N
LP001228,Male,No,0,Not Graduate,No,3200.0,2254.0,126.0,180.0,0,Urban,N
LP001233,Male,Yes,1,Graduate,No,10750.0,0.0,312.0,360.0,1,Urban,Y
LP001238,Male,Yes,3,Not Graduate,Yes,7100.0,0.0,125.0,60.0,1,Urban,Y
LP001241,Female,No,0,Graduate,No,4300.0,0.0,136.0,360.0,0,Semiurban,N
LP001243,Male,Yes,0,Graduate,No,3208.0,3066.0,172.0,360.0,1,Urban,Y
LP001245,Male,Yes,2,Not Graduate,Yes,1875.0,1875.0,97.0,360.0,1,Semiurban,Y
LP001248,Male,No,0,Graduate,No,3500.0,0.0,81.0,300.0,1,Semiurban,Y
LP001250,Male,Yes,3,Not Graduate,No,4755.0,0.0,95.0,360.0,0,Semiurban,N
LP001253,Male,Yes,3,Graduate,Yes,5266.0,1774.0,187.0,360.0,1,Semiurban,Y
LP001255,Male,No,0,Graduate,No,3750.0,0.0,113.0,480.0,1,Urban,N
LP001256,Male,No,0,Graduate,No,3750.0,4750.0,176.0,360.0,1,Urban,N
LP001259,Male,Yes,1,Graduate,Yes,1000.0,3022.0,110.0,360.0,1,Urban,N
LP001263,Male,Yes,3,Graduate,No,3167.0,4000.0,180.0,300.0,0,Semiurban,N
LP001264,Male,Yes,3,Not Graduate,Yes,3333.0,2166.0,130.0,360.0,1,Semiurban,Y
LP001265,Female,No,0,Graduate,No,3846.0,0.0,111.0,360.0,1,Semiurban,Y
LP001266,Male,Yes,1,Graduate,Yes,2395.0,0.0,120.0,360.0,1,Semiurban,Y
LP001267,Female,Yes,2,Graduate,No,1378.0,1881.0,167.0,360.0,1,Urban,N
LP001273,Male,Yes,0,Graduate,No,6000.0,2250.0,265.0,360.0,1,Semiurban,N
LP001275,Male,Yes,1,Graduate,No,3988.0,0.0,50.0,240.0,1,Urban,Y
LP001279,Male,No,0,Graduate,No,2366.0,2531.0,136.0,360.0,1,Semiurban,Y
LP001280,Male,Yes,2,Not Graduate,No,3333.0,2000.0,99.0,360.0,1,Semiurban,Y
LP001282,Male,Yes,0,Graduate,No,2500.0,2118.0,104.0,360.0,1,Semiurban,Y
LP001289,Male,No,0,Graduate,No,8566.0,0.0,210.0,360.0,1,Urban,Y
LP001310,Male,Yes,0,Graduate,No,5695.0,4167.0,175.0,360.0,1,Semiurban,Y
LP001316,Male,Yes,0,Graduate,No,2958.0,2900.0,131.0,360.0,1,Semiurban,Y
LP001318,Male,Yes,2,Graduate,No,6250.0,5654.0,188.0,180.0,1,Semiurban,Y
LP001319,Male,Yes,2,Not Graduate,No,3273.0,1820.0,81.0,360.0,1,Urban,Y
LP001322,Male,No,0,Graduate,No,4133.0,0.0,122.0,360.0,1,Semiurban,Y
LP001325,Male,No,0,Not Graduate,No,3620.0,0.0,25.0,120.0,1,Semiurban,Y
LP001326,Male,No,0,Graduate,No,6782.0,0.0,120.0,360.0,1,Urban,N
LP001327,Female,Yes,0,Graduate,No,2484.0,2302.0,137.0,360.0,1,Semiurban,Y
LP001333,Male,Yes,0,Graduate,No,1977.0,997.0,50.0,360.0,1,Semiurban,Y
LP001334,Male,Yes,0,Not Graduate,No,4188.0,0.0,115.0,180.0,1,Semiurban,Y
LP001343,Male,Yes,0,Graduate,No,1759.0,3541.0,131.0,360.0,1,Semiurban,Y
LP001345,Male,Yes,2,Not Graduate,No,4288.0,3263.0,133.0,180.0,1,Urban,Y
LP001349,Male,No,0,Graduate,No,4843.0,3806.0,151.0,360.0,1,Semiurban,Y
LP001350,Male,Yes,0,Graduate,No,13650.0,0.0,120.0,360.0,1,Urban,Y
LP001356,Male,Yes,0,Graduate,No,4652.0,3583.0,120.0,360.0,1,Semiurban,Y
LP001357,Male,Yes,0,Graduate,No,3816.0,754.0,160.0,360.0,1,Urban,Y
LP001367,Male,Yes,1,Graduate,No,3052.0,1030.0,100.0,360.0,1,Urban,Y
LP001369,Male,Yes,2,Graduate,No,11417.0,1126.0,225.0,360.0,1,Urban,Y
LP001370,Male,No,0,Not Graduate,No,7333.0,0.0,120.0,360.0,1,Rural,N
LP001379,Male,Yes,2,Graduate,No,3800.0,3600.0,216.0,360.0,0,Urban,N
LP001384,Male,Yes,3,Not Graduate,No,2071.0,754.0,94.0,480.0,1,Semiurban,Y
LP001385,Male,No,0,Graduate,No,5316.0,0.0,136.0,360.0,1,Urban,Y
LP001387,Female,Yes,0,Graduate,No,2929.0,2333.0,139.0,360.0,1,Semiurban,Y
LP001391,Male,Yes,0,Not Graduate,No,3572.0,4114.0,152.0,360.0,0,Rural,N
LP001392,Female,No,1,Graduate,Yes,7451.0,0.0,120.0,360.0,1,Semiurban,Y
LP001398,Male,No,0,Graduate,No,5050.0,0.0,118.0,360.0,1,Semiurban,Y
LP001401,Male,Yes,1,Graduate,No,14583.0,0.0,185.0,180.0,1,Rural,Y
LP001404,Female,Yes,0,Graduate,No,3167.0,2283.0,154.0,360.0,1,Semiurban,Y
LP001405,Male,Yes,1,Graduate,No,2214.0,1398.0,85.0,360.0,1,Urban,Y
LP001421,Male,Yes,0,Graduate,No,5568.0,2142.0,175.0,360.0,1,Rural,N
LP001422,Female,No,0,Graduate,No,10408.0,0.0,259.0,360.0,1,Urban,Y
LP001426,Male,Yes,0,Graduate,No,5667.0,2667.0,180.0,360.0,1,Rural,Y
LP001430,Female,No,0,Graduate,No,4166.0,0.0,44.0,360.0,1,Semiurban,Y
LP001431,Female,No,0,Graduate,No,2137.0,8980.0,137.0,360.0,0,Semiurban,Y
LP001432,Male,Yes,2,Graduate,No,2957.0,0.0,81.0,360.0,1,Semiurban,Y
LP001439,Male,Yes,0,Not Graduate,No,4300.0,2014.0,194.0,360.0,1,Rural,Y
LP001443,Female,No,0,Graduate,No,3692.0,0.0,93.0,360.0,1,Rural,Y
LP001448,Male,Yes,3,Graduate,No,23803.0,0.0,370.0,360.0,1,Rural,Y
LP001449,Male,No,0,Graduate,No,3865.0,1640.0,120.0,360.0,1,Rural,Y
LP001451,Male,Yes,1,Graduate,Yes,10513.0,3850.0,160.0,180.0,0,Urban,N
LP001465,Male,Yes,0,Graduate,No,6080.0,2569.0,182.0,360.0,1,Rural,N
LP001469,Male,No,0,Graduate,Yes,20166.0,0.0,637.0,480.0,1,Urban,Y
LP001473,Male,No,0,Graduate,No,2014.0,1929.0,74.0,360.0,1,Urban,Y
LP001478,Male,No,0,Graduate,No,2718.0,0.0,70.0,360.0,1,Semiurban,Y
LP001482,Male,Yes,0,Graduate,Yes,3459.0,0.0,25.0,120.0,1,Semiurban,Y
LP001487,Male,No,0,Graduate,No,4895.0,0.0,102.0,360.0,1,Semiurban,Y
LP001488,Male,Yes,3,Graduate,No,4000.0,7750.0,290.0,360.0,1,Semiurban,N
LP001489,Female,Yes,0,Graduate,No,4583.0,0.0,84.0,360.0,1,Rural,N
LP001491,Male,Yes,2,Graduate,Yes,3316.0,3500.0,88.0,360.0,1,Urban,Y
LP001492,Male,No,0,Graduate,No,14999.0,0.0,242.0,360.0,0,Semiurban,N
LP001493,Male,Yes,2,Not Graduate,No,4200.0,1430.0,129.0,360.0,1,Rural,N
LP001497,Male,Yes,2,Graduate,No,5042.0,2083.0,185.0,360.0,1,Rural,N
LP001498,Male,No,0,Graduate,No,5417.0,0.0,168.0,360.0,1,Urban,Y
LP001504,Male,No,0,Graduate,Yes,6950.0,0.0,175.0,180.0,1,Semiurban,Y
LP001507,Male,Yes,0,Graduate,No,2698.0,2034.0,122.0,360.0,1,Semiurban,Y
LP001508,Male,Yes,2,Graduate,No,11757.0,0.0,187.0,180.0,1,Urban,Y
LP001514,Female,Yes,0,Graduate,No,2330.0,4486.0,100.0,360.0,1,Semiurban,Y
LP001516,Female,Yes,2,Graduate,No,14866.0,0.0,70.0,360.0,1,Urban,Y
LP001518,Male,Yes,1,Graduate,No,1538.0,1425.0,30.0,360.0,1,Urban,Y
LP001519,Female,No,0,Graduate,No,10000.0,1666.0,225.0,360.0,1,Rural,N
LP001520,Male,Yes,0,Graduate,No,4860.0,830.0,125.0,360.0,1,Semiurban,Y
LP001528,Male,No,0,Graduate,No,6277.0,0.0,118.0,360.0,0,Rural,N
LP001529,Male,Yes,0,Graduate,Yes,2577.0,3750.0,152.0,360.0,1,Rural,Y
LP001531,Male,No,0,Graduate,No,9166.0,0.0,244.0,360.0,1,Urban,N
LP001532,Male,Yes,2,Not Graduate,No,2281.0,0.0,113.0,360.0,1,Rural,N
LP001535,Male,No,0,Graduate,No,3254.0,0.0,50.0,360.0,1,Urban,Y
LP001536,Male,Yes,3,Graduate,No,27614.625,0.0,600.0,180.0,0,Semiurban,Y
LP001541,Male,Yes,1,Graduate,No,6000.0,0.0,160.0,360.0,1,Rural,Y
LP001543,Male,Yes,1,Graduate,No,9538.0,0.0,187.0,360.0,1,Urban,Y
LP001546,Male,No,0,Graduate,No,2980.0,2083.0,120.0,360.0,1,Rural,Y
LP001552,Male,Yes,0,Graduate,No,4583.0,5625.0,255.0,360.0,1,Semiurban,Y
LP001560,Male,Yes,0,Not Graduate,No,1863.0,1041.0,98.0,360.0,1,Semiurban,Y
LP001562,Male,Yes,0,Graduate,No,7933.0,0.0,275.0,360.0,1,Urban,N
LP001565,Male,Yes,1,Graduate,No,3089.0,1280.0,121.0,360.0,0,Semiurban,N
LP001570,Male,Yes,2,Graduate,No,4167.0,1447.0,158.0,360.0,1,Rural,Y
LP001572,Male,Yes,0,Graduate,No,9323.0,0.0,75.0,180.0,1,Urban,Y
LP001574,Male,Yes,0,Graduate,No,3707.0,3166.0,182.0,360.0,1,Rural,Y
LP001577,Female,Yes,0,Graduate,No,4583.0,0.0,112.0,360.0,1,Rural,N
LP001578,Male,Yes,0,Graduate,No,2439.0,3333.0,129.0,360.0,1,Rural,Y
LP001579,Male,No,0,Graduate,No,2237.0,0.0,63.0,480.0,0,Semiurban,N
LP001580,Male,Yes,2,Graduate,No,8000.0,0.0,200.0,360.0,1,Semiurban,Y
LP001581,Male,Yes,0,Not Graduate,No,1820.0,1769.0,95.0,360.0,1,Rural,Y
LP001585,Male,Yes,3,Graduate,No,27614.625,0.0,637.0,300.0,1,Urban,Y
LP001586,Male,Yes,3,Not Graduate,No,3522.0,0.0,81.0,180.0,1,Rural,N
LP001594,Male,Yes,0,Graduate,No,5708.0,5625.0,187.0,360.0,1,Semiurban,Y
LP001603,Male,Yes,0,Not Graduate,Yes,4344.0,736.0,87.0,360.0,1,Semiurban,N
LP001606,Male,Yes,0,Graduate,No,3497.0,1964.0,116.0,360.0,1,Rural,Y
LP001608,Male,Yes,2,Graduate,No,2045.0,1619.0,101.0,360.0,1,Rural,Y
LP001610,Male,Yes,3,Graduate,No,5516.0,11300.0,495.0,360.0,0,Semiurban,N
LP001616,Male,Yes,1,Graduate,No,3750.0,0.0,116.0,360.0,1,Semiurban,Y
LP001630,Male,No,0,Not Graduate,No,2333.0,1451.0,102.0,480.0,0,Urban,N
LP001633,Male,Yes,1,Graduate,No,6400.0,7250.0,180.0,360.0,0,Urban,N
LP001634,Male,No,0,Graduate,No,1916.0,5063.0,67.0,360.0,1,Rural,N
LP001636,Male,Yes,0,Graduate,No,4600.0,0.0,73.0,180.0,1,Semiurban,Y
LP001637,Male,Yes,1,Graduate,No,27614.625,0.0,260.0,360.0,1,Semiurban,N
LP001639,Female,Yes,0,Graduate,No,3625.0,0.0,108.0,360.0,1,Semiurban,Y
LP001640,Male,Yes,0,Graduate,Yes,27614.625,4750.0,120.0,360.0,1,Semiurban,Y
LP001641,Male,Yes,1,Graduate,Yes,2178.0,0.0,66.0,300.0,0,Rural,N
LP001643,Male,Yes,0,Graduate,No,2383.0,2138.0,58.0,360.0,1,Rural,Y
LP001644,Male,Yes,0,Graduate,Yes,674.0,5296.0,168.0,360.0,1,Rural,Y
LP001647,Male,Yes,0,Graduate,No,9328.0,0.0,188.0,180.0,1,Rural,Y
LP001653,Male,No,0,Not Graduate,No,4885.0,0.0,48.0,360.0,1,Rural,Y
LP001656,Male,No,0,Graduate,No,12000.0,0.0,164.0,360.0,1,Semiurban,N
LP001657,Male,Yes,0,Not Graduate,No,6033.0,0.0,160.0,360.0,1,Urban,N
LP001658,Male,No,0,Graduate,No,3858.0,0.0,76.0,360.0,1,Semiurban,Y
LP001664,Male,No,0,Graduate,No,4191.0,0.0,120.0,360.0,1,Rural,Y
LP001665,Male,Yes,1,Graduate,No,3125.0,2583.0,170.0,360.0,1,Semiurban,N
LP001666,Male,No,0,Graduate,No,8333.0,3750.0,187.0,360.0,1,Rural,Y
LP001669,Female,No,0,Not Graduate,No,1907.0,2365.0,120.0,360.0,1,Urban,Y
LP001671,Female,Yes,0,Graduate,No,3416.0,2816.0,113.0,360.0,1,Semiurban,Y
LP001673,Male,No,0,Graduate,Yes,11000.0,0.0,83.0,360.0,1,Urban,N
LP001674,Male,Yes,1,Not Graduate,No,2600.0,2500.0,90.0,360.0,1,Semiurban,Y
LP001677,Male,No,2,Graduate,No,4923.0,0.0,166.0,360.0,0,Semiurban,Y
LP001682,Male,Yes,3,Not Graduate,No,3992.0,0.0,120.0,180.0,1,Urban,N
LP001688,Male,Yes,1,Not Graduate,No,3500.0,1083.0,135.0,360.0,1,Urban,Y
LP001691,Male,Yes,2,Not Graduate,No,3917.0,0.0,124.0,360.0,1,Semiurban,Y
LP001692,Female,No,0,Not Graduate,No,4408.0,0.0,120.0,360.0,1,Semiurban,Y
LP001693,Female,No,0,Graduate,No,3244.0,0.0,80.0,360.0,1,Urban,Y
LP001698,Male,No,0,Not Graduate,No,3975.0,2531.0,55.0,360.0,1,Rural,Y
LP001699,Male,No,0,Graduate,No,2479.0,0.0,59.0,360.0,1,Urban,Y
LP001702,Male,No,0,Graduate,No,3418.0,0.0,127.0,360.0,1,Semiurban,N
LP001708,Female,No,0,Graduate,No,10000.0,0.0,214.0,360.0,1,Semiurban,N
LP001711,Male,Yes,3,Graduate,No,3430.0,1250.0,128.0,360.0,0,Semiurban,N
LP001713,Male,Yes,1,Graduate,Yes,7787.0,0.0,240.0,360.0,1,Urban,Y
LP001715,Male,Yes,3,Not Graduate,Yes,5703.0,0.0,130.0,360.0,1,Rural,Y
LP001716,Male,Yes,0,Graduate,No,3173.0,3021.0,137.0,360.0,1,Urban,Y
LP001720,Male,Yes,3,Not Graduate,No,3850.0,983.0,100.0,360.0,1,Semiurban,Y
LP001722,Male,Yes,0,Graduate,No,150.0,1800.0,135.0,360.0,1,Rural,N
LP001726,Male,Yes,0,Graduate,No,3727.0,1775.0,131.0,360.0,1,Semiurban,Y
LP001732,Male,Yes,2,Graduate,No,5000.0,0.0,72.0,360.0,0,Semiurban,N
LP001734,Female,Yes,2,Graduate,No,4283.0,2383.0,127.0,360.0,1,Semiurban,Y
LP001736,Male,Yes,0,Graduate,No,2221.0,0.0,60.0,360.0,0,Urban,N
LP001743,Male,Yes,2,Graduate,No,4009.0,1717.0,116.0,360.0,1,Semiurban,Y
LP001744,Male,No,0,Graduate,No,2971.0,2791.0,144.0,360.0,1,Semiurban,Y
LP001749,Male,Yes,0,Graduate,No,7578.0,1010.0,175.0,360.0,1,Semiurban,Y
LP001750,Male,Yes,0,Graduate,No,6250.0,0.0,128.0,360.0,1,Semiurban,Y
LP001751,Male,Yes,0,Graduate,No,3250.0,0.0,170.0,360.0,1,Rural,N
LP001754,Male,Yes,0,Not Graduate,Yes,4735.0,0.0,138.0,360.0,1,Urban,N
LP001758,Male,Yes,2,Graduate,No,6250.0,1695.0,210.0,360.0,1,Semiurban,Y
LP001760,Male,Yes,0,Graduate,No,4758.0,0.0,158.0,480.0,1,Semiurban,Y
LP001761,Male,No,0,Graduate,Yes,6400.0,0.0,200.0,360.0,1,Rural,Y
LP001765,Male,Yes,1,Graduate,No,2491.0,2054.0,104.0,360.0,1,Semiurban,Y
LP001768,Male,Yes,0,Graduate,No,3716.0,0.0,42.0,180.0,1,Rural,Y
LP001770,Male,No,0,Not Graduate,No,3189.0,2598.0,120.0,360.0,1,Rural,Y
LP001776,Female,No,0,Graduate,No,8333.0,0.0,280.0,360.0,1,Semiurban,Y
LP001778,Male,Yes,1,Graduate,No,3155.0,1779.0,140.0,360.0,1,Semiurban,Y
LP001784,Male,Yes,1,Graduate,No,5500.0,1260.0,170.0,360.0,1,Rural,Y
LP001786,Male,Yes,0,Graduate,No,5746.0,0.0,255.0,360.0,1,Urban,N
LP001788,Female,No,0,Graduate,Yes,3463.0,0.0,122.0,360.0,1,Urban,Y
LP001790,Female,No,1,Graduate,No,3812.0,0.0,112.0,360.0,1,Rural,Y
LP001792,Male,Yes,1,Graduate,No,3315.0,0.0,96.0,360.0,1,Semiurban,Y
LP001798,Male,Yes,2,Graduate,No,5819.0,5000.0,120.0,360.0,1,Rural,Y
LP001800,Male,Yes,1,Not Graduate,No,2510.0,1983.0,140.0,180.0,1,Urban,N
LP001806,Male,No,0,Graduate,No,2965.0,5701.0,155.0,60.0,1,Urban,Y
LP001807,Male,Yes,2,Graduate,Yes,6250.0,1300.0,108.0,360.0,1,Rural,Y
LP001811,Male,Yes,0,Not Graduate,No,3406.0,4417.0,123.0,360.0,1,Semiurban,Y
LP001813,Male,No,0,Graduate,Yes,6050.0,4333.0,120.0,180.0,1,Urban,N
LP001814,Male,Yes,2,Graduate,No,9703.0,0.0,112.0,360.0,1,Urban,Y
LP001819,Male,Yes,1,Not Graduate,No,6608.0,0.0,137.0,180.0,1,Urban,Y
LP001824,Male,Yes,1,Graduate,No,2882.0,1843.0,123.0,480.0,1,Semiurban,Y
LP001825,Male,Yes,0,Graduate,No,1809.0,1868.0,90.0,360.0,1,Urban,Y
LP001835,Male,Yes,0,Not Graduate,No,1668.0,3890.0,201.0,360.0,0,Semiurban,N
LP001836,Female,No,2,Graduate,No,3427.0,0.0,138.0,360.0,1,Urban,N
LP001841,Male,No,0,Not Graduate,Yes,2583.0,2167.0,104.0,360.0,1,Rural,Y
LP001843,Male,Yes,1,Not Graduate,No,2661.0,7101.0,279.0,180.0,1,Semiurban,Y
LP001844,Male,No,0,Graduate,Yes,16250.0,0.0,192.0,360.0,0,Urban,N
LP001846,Female,No,3,Graduate,No,3083.0,0.0,255.0,360.0,1,Rural,Y
LP001849,Male,No,0,Not Graduate,No,6045.0,0.0,115.0,360.0,0,Rural,N
LP001854,Male,Yes,3,Graduate,No,5250.0,0.0,94.0,360.0,1,Urban,N
LP001859,Male,Yes,0,Graduate,No,14683.0,2100.0,304.0,360.0,1,Rural,N
LP001864,Male,Yes,3,Not Graduate,No,4931.0,0.0,128.0,360.0,1,Semiurban,N
LP001865,Male,Yes,1,Graduate,No,6083.0,4250.0,330.0,360.0,1,Urban,Y
LP001868,Male,No,0,Graduate,No,2060.0,2209.0,134.0,360.0,1,Semiurban,Y
LP001870,Female,No,1,Graduate,No,3481.0,0.0,155.0,36.0,1,Semiurban,N
LP001871,Female,No,0,Graduate,No,7200.0,0.0,120.0,360.0,1,Rural,Y
LP001872,Male,No,0,Graduate,Yes,5166.0,0.0,128.0,360.0,1,Semiurban,Y
LP001875,Male,No,0,Graduate,No,4095.0,3447.0,151.0,360.0,1,Rural,Y
LP001877,Male,Yes,2,Graduate,No,4708.0,1387.0,150.0,360.0,1,Semiurban,Y
LP001882,Male,Yes,3,Graduate,No,4333.0,1811.0,160.0,360.0,0,Urban,Y
LP001883,Female,No,0,Graduate,No,3418.0,0.0,135.0,360.0,1,Rural,N
LP001884,Female,No,1,Graduate,No,2876.0,1560.0,90.0,360.0,1,Urban,Y
LP001888,Female,No,0,Graduate,No,3237.0,0.0,30.0,360.0,1,Urban,Y
LP001891,Male,Yes,0,Graduate,No,11146.0,0.0,136.0,360.0,1,Urban,Y
LP001892,Male,No,0,Graduate,No,2833.0,1857.0,126.0,360.0,1,Rural,Y
LP001894,Male,Yes,0,Graduate,No,2620.0,2223.0,150.0,360.0,1,Semiurban,Y
LP001896,Male,Yes,2,Graduate,No,3900.0,0.0,90.0,360.0,1,Semiurban,Y
LP001900,Male,Yes,1,Graduate,No,2750.0,1842.0,115.0,360.0,1,Semiurban,Y
LP001903,Male,Yes,0,Graduate,No,3993.0,3274.0,207.0,360.0,1,Semiurban,Y
LP001904,Male,Yes,0,Graduate,No,3103.0,1300.0,80.0,360.0,1,Urban,Y
LP001907,Male,Yes,0,Graduate,No,14583.0,0.0,436.0,360.0,1,Semiurban,Y
LP001908,Female,Yes,0,Not Graduate,No,4100.0,0.0,124.0,360.0,1,Rural,Y
LP001910,Male,No,1,Not Graduate,Yes,4053.0,2426.0,158.0,360.0,0,Urban,N
LP001914,Male,Yes,0,Graduate,No,3927.0,800.0,112.0,360.0,1,Semiurban,Y
LP001915,Male,Yes,2,Graduate,No,2301.0,985.7999878,78.0,180.0,1,Urban,Y
LP001917,Female,No,0,Graduate,No,1811.0,1666.0,54.0,360.0,1,Urban,Y
LP001922,Male,Yes,0,Graduate,No,20667.0,0.0,120.0,360.0,1,Rural,N
LP001924,Male,No,0,Graduate,No,3158.0,3053.0,89.0,360.0,1,Rural,Y
LP001925,Female,No,0,Graduate,Yes,2600.0,1717.0,99.0,300.0,1,Semiurban,N
LP001926,Male,Yes,0,Graduate,No,3704.0,2000.0,120.0,360.0,1,Rural,Y
